기업명,코드,업종,15회업종분류,"규모
코드","내부
지분율
(4)","전문경영인정도
(3)","소비성
지출
(3)","위험성
(5)","관계사
출자
(3)","관계사
지급보증
(2)","건전성
(20점)","공정거래1
(1)","공정거래2
(2)","불성실
공시
(2)","
사업
보고서 
적정성
(2)","사외이사비율
(2)","사외이사의이사회
참여
(2)","공정성
(11점)","장애인
고용비율
(2)","여성
채용비율
(2)","기부금
(3)","사회봉사
기여도
(7)","공산품사후봉사
우수기업인증
(2)","품질
관련인증
(3)","광고비
과다지출
(2)","소비자보호만족도
총점
(7)","환경
회계공시
(2)","에너지
효율
(2)","환경관련인증 
및 수상
(3)","수,대,특 
오염실태(3)","환경보호만족도
총점
(10)","작업장
보건
안전인증(2)","1인당
교육훈련비
(2)","교육훈련비
증가율
(2)","임금
보상체계
(2)","복지후생
(2)","종업원
만족도
총점
(10)","연구개발지출
(제조2점/
비제조3점)","특허및장영실상
(제조1점)","수익성
(1)","성장성
(1)","설비투자
(제조1점)","고용인력
증가율
(비제조1점)","조세납부
(제조1점,
비제조2점)","배당성향
(1)","노동생산성
증가율
(1)","수출비중
(제조1점)","경제발전
기여도
(10)","정량평가
총점
(75)"
CJ,' 01040,음식료품제조업,식약/섬유/종이업,1 ,3.22 ,2.55 ,3.00 ,4.25 ,1.20 ,1.10 ,15.32 ,0.55 ,1.70 ,1.70 ,2.00 ,2.00 ,2.00 ,9.95 ,0.98 ,1.70 ,3.00 ,5.68 ,1.00 ,1.20 ,1.00 ,3.20 ,1.70 ,1.40 ,2.55 ,2.55 ,8.20 ,1.50 ,2.00 ,1.10 ,1.27 ,0.95 ,6.81 ,1.40 ,0.85 ,0.49 ,0.26 ,1.00 ,,0.45 ,0.29 ,0.46 ,0.55 ,5.75 ,54.91 
LG생명과학,' 68870,화학제품제조업,식약/섬유/종이업,1 ,2.93 ,2.55 ,1.20 ,5.00 ,2.55 ,1.70 ,15.93 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,1.10 ,8.45 ,0.71 ,1.70 ,3.00 ,5.41 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,1.40 ,2.10 ,2.55 ,7.05 ,1.50 ,2.00 ,0.98 ,1.62 ,1.28 ,7.38 ,2.00 ,0.70 ,0.29 ,0.26 ,1.00 ,,0.68 ,0.25 ,0.47 ,0.85 ,6.50 ,54.41 
현대산업개발,' 12630,종합건설업,비제조/서비스업,1 ,3.41 ,2.55 ,2.55 ,5.00 ,2.10 ,1.70 ,17.31 ,0.55 ,1.70 ,1.70 ,2.00 ,2.00 ,1.50 ,9.45 ,0.53 ,1.40 ,2.51 ,4.44 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,0.50 ,1.65 ,2.55 ,6.40 ,1.50 ,2.00 ,1.03 ,0.74 ,0.53 ,5.80 ,1.20 ,,0.65 ,0.26 ,,0.85 ,1.14 ,0.28 ,0.40 ,,4.77 ,51.88 
LG화학,' 51910,화학제품제조업,금속/비금속/화학업,1 ,2.83 ,2.55 ,3.00 ,4.25 ,1.20 ,1.10 ,14.93 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,0.50 ,8.75 ,1.00 ,0.80 ,1.23 ,3.03 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,2.55 ,2.55 ,8.20 ,1.50 ,2.00 ,1.02 ,0.87 ,0.75 ,6.14 ,1.70 ,1.00 ,0.86 ,0.26 ,1.00 ,,0.37 ,0.28 ,0.49 ,0.85 ,6.81 ,51.11 
한일시멘트,' 03300,비금속광물제조업,금속/비금속/화학업,1 ,2.94 ,2.10 ,2.55 ,5.00 ,1.65 ,1.70 ,15.94 ,0.55 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.45 ,1.27 ,1.70 ,3.00 ,5.97 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,1.40 ,1.65 ,2.55 ,6.60 ,0.50 ,2.00 ,1.00 ,0.55 ,0.50 ,4.55 ,1.10 ,0.55 ,0.58 ,0.26 ,1.00 ,,0.53 ,0.27 ,0.45 ,0.40 ,5.13 ,50.34 
기아자동차,' 00270,자동차제조,전기전자/기계업,1 ,2.79 ,2.55 ,3.00 ,3.50 ,1.65 ,1.70 ,15.19 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,1.50 ,9.75 ,1.67 ,0.50 ,1.40 ,3.57 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,1.40 ,2.55 ,2.55 ,7.50 ,1.50 ,2.00 ,0.85 ,1.15 ,0.76 ,6.26 ,2.00 ,1.00 ,0.55 ,0.26 ,1.00 ,,0.31 ,0.28 ,0.39 ,0.85 ,6.64 ,52.17 
롯데칠성음료,' 05300,음식료품제조업,식약/섬유/종이업,1 ,2.23 ,2.10 ,3.00 ,5.00 ,2.10 ,1.70 ,16.13 ,0.25 ,1.10 ,1.70 ,1.60 ,1.10 ,2.00 ,7.75 ,0.87 ,1.70 ,1.44 ,4.01 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,1.40 ,1.65 ,2.55 ,6.60 ,0.50 ,2.00 ,0.85 ,1.57 ,1.35 ,6.27 ,0.50 ,0.40 ,0.61 ,0.26 ,1.00 ,,0.55 ,0.25 ,0.48 ,0.40 ,4.45 ,48.91 
한미약품,' 08930,화학제품제조업,식약/섬유/종이업,1 ,3.09 ,2.10 ,1.65 ,4.25 ,1.65 ,1.40 ,14.14 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,2.00 ,9.35 ,1.04 ,1.40 ,3.00 ,5.44 ,1.00 ,0.75 ,1.00 ,2.75 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,0.85 ,2.00 ,2.00 ,7.35 ,2.00 ,0.70 ,0.71 ,0.26 ,0.67 ,,0.42 ,0.27 ,0.52 ,0.55 ,6.11 ,50.64 
휴켐스,' 69260,화학제품제조업,금속/비금속/화학업,2 ,2.07 ,2.55 ,2.55 ,4.25 ,2.55 ,1.70 ,15.67 ,0.85 ,1.70 ,1.70 ,2.00 ,1.50 ,2.00 ,9.75 ,1.19 ,1.70 ,3.00 ,5.89 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,2.10 ,2.55 ,6.85 ,0.50 ,2.00 ,0.80 ,0.63 ,0.61 ,4.54 ,0.80 ,0.55 ,0.51 ,0.26 ,1.00 ,,0.39 ,0.30 ,0.47 ,0.40 ,4.67 ,50.63 
한국가스공사,' 36460,전기가스증기업,비제조/서비스업,1 ,1.89 ,2.55 ,3.00 ,2.00 ,2.55 ,1.70 ,13.69 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,1.50 ,9.75 ,1.37 ,0.50 ,3.00 ,4.87 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,0.50 ,2.55 ,2.55 ,6.60 ,0.50 ,2.00 ,1.05 ,0.50 ,0.50 ,4.55 ,1.65 ,,0.51 ,0.26 ,,0.85 ,0.80 ,0.32 ,0.47 ,,4.86 ,48.01 
