"","datetime","RPT_ID","운용팀","제조사","중계기명","함체온도","시도명","시군구명","동명","temp","wind_direct","wind_speed","rain_fall","월"
"1",2016-05-09 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",40,"경기도","성남시 분당구","구미동",27.5,20.9,2,NA,"16-05"
"2",2016-05-10 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",41,"경기도","성남시 분당구","구미동",15,71.8,1.1,1.5,"16-05"
"3",2016-05-11 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",32,"경기도","성남시 분당구","구미동",22.2,299.8,2.1,NA,"16-05"
"4",2016-05-12 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",37,"경기도","성남시 분당구","구미동",24.1,177.8,1.8,NA,"16-05"
"5",2016-05-13 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",38,"경기도","성남시 분당구","구미동",22.1,27.6,2.5,NA,"16-05"
"6",2016-05-14 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",38,"경기도","성남시 분당구","구미동",25.4,98.1,1.9,NA,"16-05"
"7",2016-05-15 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",41,"경기도","성남시 분당구","구미동",24.7,201.2,2.3,NA,"16-05"
"8",2016-05-16 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",37,"경기도","성남시 분당구","구미동",20.8,285.8,2.1,NA,"16-05"
"9",2016-05-17 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",27,"경기도","성남시 분당구","구미동",25.6,110.6,0.8,NA,"16-05"
"10",2016-05-21 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",44,"경기도","성남시 분당구","구미동",29.1,77.4,2.2,NA,"16-05"
"11",2016-05-22 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",44,"경기도","성남시 분당구","구미동",28.9,93.8,1.1,NA,"16-05"
"12",2016-05-23 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",45,"경기도","성남시 분당구","구미동",27,204.8,1.1,NA,"16-05"
"13",2016-05-24 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",44,"경기도","성남시 분당구","구미동",17.2,236.8,1.3,1.5,"16-05"
"14",2016-05-25 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",34,"경기도","성남시 분당구","구미동",22.1,188.6,1.7,NA,"16-05"
"15",2016-05-26 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",39,"경기도","성남시 분당구","구미동",24.5,216.8,1.4,NA,"16-05"
"16",2016-05-27 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",40,"경기도","성남시 분당구","구미동",26.3,245.4,1.1,NA,"16-05"
"17",2016-05-28 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",42,"경기도","성남시 분당구","구미동",27,39.7,1.2,NA,"16-05"
"18",2016-05-29 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",42,"경기도","성남시 분당구","구미동",24.7,178,1.6,NA,"16-05"
"19",2016-05-30 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",42,"경기도","성남시 분당구","구미동",27.5,318.9,1.6,NA,"16-05"
"20",2016-06-01 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",42,"경기도","성남시 분당구","구미동",27.4,88.9,2.3,NA,"16-06"
